id_user;id_conteudo;data;horas_consumidas
150;10406;07/07/2019;0,27
139;10352;24/11/2019;0,59
182;10206;26/07/2019;0,82
199;10835;10/11/2019;0,24
185;10406;19/11/2019;0,98
144;10777;09/11/2019;0,53
136;10206;18/07/2019;0,07
150;10835;09/07/2019;0,61
199;10406;24/07/2019;0,70
182;10352;08/08/2019;0,61
199;10777;17/09/2019;0,42
185;10835;21/07/2019;0,51
144;10406;03/07/2019;0,16
136;10352;09/10/2019;0,16
199;10777;19/08/2019;0,82
185;10835;07/11/2019;0,45
144;10406;20/10/2019;0,38
182;10352;27/11/2019;0,94
150;10206;30/07/2019;0,13
144;10835;15/08/2019;0,80
144;10406;04/10/2019;0,20
136;10352;02/11/2019;0,64
199;10352;26/09/2019;0,54
185;10352;13/11/2019;0,27
144;10352;20/11/2019;0,92
